rated,winner,increment_code,white_rating,black_rating,victory_status_draw,victory_status_mate,victory_status_outoftime,victory_status_resign,moves_num,opening_num,midMoves_num,pca1,pca2
1.0,white,0.05555555555555556,0.2834029227557411,0.2303493449781659,0.0,0.0,0.0,1.0,0.015873015873015872,0.0,0.24390243902439027,-0.5619918640431695,-0.14230390811424756
1.0,white,0.05555555555555556,0.27609603340292277,0.3002183406113537,0.0,1.0,0.0,0.0,0.4285714285714286,0.14814814814814814,0.5121951219512195,0.8761124062643286,-0.18079319639698388
1.0,black,0.05555555555555556,0.295929018789144,0.2778384279475982,0.0,1.0,0.0,0.0,0.1746031746031746,0.0,0.36585365853658536,0.8549404123646418,-0.1478407409679967
1.0,black,0.05555555555555556,0.2651356993736952,0.3018558951965065,0.0,0.0,0.0,1.0,0.25396825396825395,0.25925925925925924,0.34146341463414637,-0.548408033732067,-0.1713361934296742
1.0,white,0.044444444444444446,0.36325678496868474,0.3056768558951965,0.0,0.0,0.0,1.0,0.5714285714285714,0.18518518518518517,0.6097560975609756,-0.5172198940667703,-0.2198879448687687
1.0,black,0.044444444444444446,0.2990605427974947,0.3728165938864629,0.0,0.0,0.0,1.0,0.31746031746031744,0.0,0.47560975609756095,-0.5374209874129687,-0.18898900533996482
1.0,black,0.33333333333333337,0.26670146137787054,0.30458515283842796,0.0,1.0,0.0,0.0,0.2857142857142857,0.0,0.451219512195122,0.8662659137005708,-0.15739834686225368
1.0,draw,0.05555555555555556,0.41022964509394566,0.3073144104803493,1.0,0.0,0.0,0.0,0.36507936507936506,0.07407407407407407,0.4878048780487805,0.22192782185864138,-0.17934107268735042
1.0,black,0.05555555555555556,0.2990605427974947,0.4235807860262008,0.0,1.0,0.0,0.0,0.15873015873015872,0.0,0.35365853658536583,0.8469592463599334,-0.14880970624837983
1.0,black,0.05555555555555556,0.3355949895615866,0.3024017467248908,0.0,0.0,0.0,1.0,0.3492063492063492,0.07407407407407407,0.47560975609756095,-0.5351962076077817,-0.19024438454853607
1.0,white,0.05555555555555556,0.36638830897703545,0.30622270742358076,0.0,1.0,0.0,0.0,0.5555555555555556,0.0,0.6585365853658537,0.8902920259022844,-0.20364223953587776
1.0,white,0.08333333333333334,0.2823590814196242,0.3127729257641921,0.0,1.0,0.0,0.0,0.14285714285714285,0.037037037037037035,0.32926829268292684,0.849439040725341,-0.1423565398921417
